mohallah_name,village_name,union_council_name,tehsil_name,district_name
Rahim abad Bala,Rahim abad,Rahim abad,Danyore,Gilgit
Rahim abad Pain,Rahim abad,Rahim abad,Danyore,Gilgit
Guru bazar ,Rahim abad,Rahim abad,Danyore,Gilgit
Juglote bala,Rahim abad,Rahim abad,Danyore,Gilgit
juglote guru,Rahim abad,Rahim abad,Danyore,Gilgit
Hasnain abad muhallah jutal,Jutal,Rahim abad,Danyore,Gilgit
Manzar abad jutal,Jutal,Rahim abad,Danyore,Gilgit
Kot muhallah jutal,Jutal,Rahim abad,Danyore,Gilgit
Astori muhallah jutal,Jutal,Rahim abad,Danyore,Gilgit
Mehdi abad jutal,Jutal,Rahim abad,Danyore,Gilgit
Jugote colony jutal,Jutal,Rahim abad,Danyore,Gilgit
Sadiq abad jutal,Jutal,Rahim abad,Danyore,Gilgit
Mujahid abad jutal,Jutal,Rahim abad,Danyore,Gilgit
Jafar Abad,Jutal,Rahim abad,Danyore,Gilgit
Tak Mohallah jutal,Jutal,Rahim abad,Danyore,Gilgit
Shangote ,Danyore,Danyore,Danyore,Gilgit
Amphary Danyore,Danyore,Danyore,Danyore,Gilgit
Skarkoi danyore,Danyore,Danyore,Danyore,Gilgit
Chasma chowk danyore,Danyore,Danyore,Danyore,Gilgit
Baig market danyore,Danyore,Danyore,Danyore,Gilgit
Sharote danyore,Danyore,Danyore,Danyore,Gilgit
Machukal danyore,Danyore,Danyore,Danyore,Gilgit
Astori muhallah danyore,Danyore,Danyore,Danyore,Gilgit
Chandni chowk danyore,Danyore,Danyore,Danyore,Gilgit
Syed abad danyore,Danyore,Danyore,Danyore,Gilgit
Akhoni muhallah danyore,Danyore,Danyore,Danyore,Gilgit
New hussain abad danyore,Danyore,Danyore,Danyore,Gilgit
Mehdi abad danyore,Danyore,Danyore,Danyore,Gilgit
Shangote Danyore,Danyore,Danyore,Danyore,Gilgit
Shabiki het danyore,Danyore,Danyore,Danyore,Gilgit
Chikiskot danyore,Danyore,Danyore,Danyore,Gilgit
School area danyore,Danyore,Danyore,Danyore,Gilgit
Qasim abad khari danyore,Danyore,Danyore,Danyore,Gilgit
machukal khari danyore,Danyore,Danyore,Danyore,Gilgit
Kaki het danyore,Danyore,Danyore,Danyore,Gilgit
Mayoon ghali danyore,Danyore,Danyore,Danyore,Gilgit
Shiren abad danyore,Danyore,Danyore,Danyore,Gilgit
Prince abad danyore,Danyore,Danyore,Danyore,Gilgit
Ithad chowk  danyore,Danyore,Danyore,Danyore,Gilgit
Chowk Area Danyor,Danyore,Danyore,Danyore,Gilgit
magrote muhallah,Danyore,Danyore,Danyore,Gilgit
Sultanabad Bala,Sultanabad,Danyore,Danyore,Gilgit
Sultan Abad No.1,Sultanabad,Danyore,Danyore,Gilgit
Sultan Abad No.2,Sultanabad,Danyore,Danyore,Gilgit
Sultan Abad No.3,Sultanabad,Danyore,Danyore,Gilgit
Pathan Muhallah Sultan Abad,Sultanabad,Danyore,Danyore,Gilgit
Glo Dass Sultanabad,Sultanabad,Danyore,Danyore,Gilgit
Muhammad abad 1 danyore,Muhammad abad,Danyore,Danyore,Gilgit
Muhammad abad 2 danyore,Muhammad abad,Danyore,Danyore,Gilgit
Muhammad abad 3 danyore,Muhammad abad,Danyore,Danyore,Gilgit
Jagir pati,Oshkhandass,Oshkhandass/Jalalabad,Danyore,Gilgit
Batot oshkindas JK2,Oshkhandass,Oshkhandass/Jalalabad,Danyore,Gilgit
Shamsabad jk7 oshkindas,Oshkhandass,Oshkhandass/Jalalabad,Danyore,Gilgit
Jamat khana1 bazar area ,Oshkhandass,Oshkhandass/Jalalabad,Danyore,Gilgit
Bulchipati,Oshkhandass,Oshkhandass/Jalalabad,Danyore,Gilgit
Prince street jk5,Oshkhandass,Oshkhandass/Jalalabad,Danyore,Gilgit
Pharpu pati ,Oshkhandass,Oshkhandass/Jalalabad,Danyore,Gilgit
Shalay pati,Oshkhandass,Oshkhandass/Jalalabad,Danyore,Gilgit
Tuduki ,Oshkhandass,Oshkhandass/Jalalabad,Danyore,Gilgit
Haider Pura Oshikhandass,Oshkhandass,Oshkhandass/Jalalabad,Danyore,Gilgit
Mehdi Abad Sheli Pati,Oshkhandass,Oshkhandass/Jalalabad,Danyore,Gilgit
chalkot,Oshkhandass,Oshkhandass/Jalalabad,Danyore,Gilgit
saqlain pura,Oshkhandass,Oshkhandass/Jalalabad,Danyore,Gilgit
Abbas pura oshikhandas,Oshkhandass,Oshkhandass/Jalalabad,Danyore,Gilgit
